Vendor;Description;Category;Url;FeedStatus
NETSHIELD;Bot and scanner IPs (daily);IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/bot_detector_blacklist_ipv4.txt;Active
NETSHIELD;AbuseIPDB top reported IPs Score ≥50 (API);IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/abuseipdb_api_blacklist.txt;Offline
NETSHIELD;High-risk ASN blocklist Score ≥50;IP;https://raw.githubusercontent.com/juergen2025sys/NETSHIELD/main/asn_blocklist_firewall.txt;Active
SentinelPhishFeed;Phishing URLs feed (auto-updated multiple times daily);URL;https://raw.githubusercontent.com/rjn32s/SentinelPhishFeed/main/urls.txt;Active
SentinelPhishFeed;Malicious IP address feed;IP;https://raw.githubusercontent.com/rjn32s/SentinelPhishFeed/main/ips.txt;Active
SentinelPhishFeed;Phishing and malware domains feed;DNS;https://raw.githubusercontent.com/rjn32s/SentinelPhishFeed/main/domains.txt;Active
SentinelPhishFeed;File hash IOCs (MD5/SHA);IOC;https://raw.githubusercontent.com/rjn32s/SentinelPhishFeed/main/hashes.txt;Active
ExtSentry;Malicious browser extension IDs (all);URL;https://raw.githubusercontent.com/ExtSentry/ExtSentry.github.io/main/feeds/ioc_all_extension_ids.txt;Active
ExtSentry;Malicious browser extension IDs only;URL;https://raw.githubusercontent.com/ExtSentry/ExtSentry.github.io/main/feeds/ioc_malicious_extension_ids.txt;Active
ExtSentry;Suspicious browser extension IDs only;URL;https://raw.githubusercontent.com/ExtSentry/ExtSentry.github.io/main/feeds/ioc_suspicious_extension_ids.txt;Active
ExtSentry;Browser extension CRX SHA-256 file hashes;SHA256;https://raw.githubusercontent.com/ExtSentry/ExtSentry.github.io/main/feeds/ioc_crx_sha256_hashes.txt;Active
ExtSentry;Browser extensions enriched IOC feed (CSV);URL;https://raw.githubusercontent.com/ExtSentry/ExtSentry.github.io/main/feeds/extsentry_ioc_feed.csv;Active
FireHOL;FireHOL blocklist-ipsets — curated IP blocklist collections (multiple sets);REPO;https://github.com/firehol/blocklist-ipsets;Active
mthcht;SOC/DFIR detection lists – VPN IPs, Named Pipes, Suspicious Services, Extensions and more;REPO;https://github.com/mthcht/awesome-lists;Active
hagezi;DNS Pro Blocklist – comprehensive DNS blocklist (ads, tracking, malware, phishing);DNS;https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/pro.txt;Active
hagezi;DNS Pro++ Blocklist – more aggressive version of Pro list;DNS;https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/pro.plus.txt;Active
blocklistproject;Block Lists – comprehensive domain blocklists (ads, malware, phishing, ransomware, scam);REPO;https://github.com/blocklistproject/Lists;Active
jarelllama;Scam Blocklist – phishing and scam domains (wildcard format);DNS;https://raw.githubusercontent.com/jarelllama/Scam-Blocklist/main/lists/wildcard_domains/scams.txt;Active
Volexity;Volexity Threat Intelligence IOC repository;REPO;https://github.com/volexity/threat-intel;Active
Sekoia;Sekoia Community IOC repository;REPO;https://github.com/SEKOIA-IO/Community;Active
Palo Alto Unit42;Unit42 Timely Threat Intelligence IOC repository;REPO;https://github.com/PaloAltoNetworks/Unit42-timely-threat-intel;Active
Palo Alto Unit42;Unit42 Threat Intelligence Article IOC repository;REPO;https://github.com/PaloAltoNetworks/Unit42-Threat-Intelligence-Article-Information;Active
Zscaler ThreatLabz;Zscaler ThreatLabz IOC repository;REPO;https://github.com/threatlabz/iocs;Active
Sophos;Sophos Labs IOC repository;REPO;https://github.com/sophoslabs/IoCs;Active
Cisco Talos;Cisco Talos IOC repository;REPO;https://github.com/Cisco-Talos/IOCs;Active
Elastic Security Labs;Elastic Security Labs threat indicators repository;REPO;https://github.com/elastic/labs-releases;Active
Avast;Avast IOC repository;REPO;https://github.com/avast/ioc;Active
HarfangLab;HarfangLab IOC repository;REPO;https://github.com/HarfangLab/iocs;Active
DoctorWeb;Dr.Web malware IOC repository;REPO;https://github.com/DoctorWebLtd/malware-iocs;Active
Black Lotus Labs;Black Lotus Labs IOC repository;REPO;https://github.com/blacklotuslabs/IOCs;Active
prodaft;prodaft malware IOC repository;REPO;https://github.com/prodaft/malware-ioc;Active
pr0xylife;pr0xylife malware IOC collections (DarkGate, QakBot, Emotet, IcedID and more);REPO;https://github.com/pr0xylife;Active
Zimperium;Zimperium mobile threat IOC repository;REPO;https://github.com/Zimperium/IOC;Active
blackorbird;APT Report IOC repository;REPO;https://github.com/blackorbird/APT_REPORT;Active
unknownhad;CloudIntel – cloud-specific IOC repository;REPO;https://github.com/unknownhad/CloudIntel;Active
SpamHaus;Extended DROP list – ASNs (eDROP);IP;https://www.spamhaus.org/drop/edrop.txt;Active
jeroengui;Phishing URLs – last week community feed;URL;https://file.jeroengui.be/phishing/last_week.txt;Active
rosti.bin;Public threat intelligence reports feed;IOC;https://rosti.bin.re/feeds;Active
Bert-JanP;Open Source Threat Intel Feeds;REPO;https://github.com/Bert-JanP/Open-Source-Threat-Intel-Feeds;Active
mthcht;Unit42 IOC by mthcht;REPO;https://github.com/mthcht/iocs;Active
ThreatLabz;Zscaler ThreatLabz Ransomware notes;REPO;https://github.com/ThreatLabz/ransomware_notes;Active
UrlHaus;UrlHaus_misp ASN feeds;URL;https://urlhaus.abuse.ch/feeds/;Active
vx-underground;Samples and Intelligence Reports;REPO;https://vx-underground.org/Samples;Active
mthcht;Threat Hunting yara rules;REPO;https://github.com/mthcht/ThreatHunting-Keywords-yara-rules;Active
mthcht;Offensive Tools detection patterns;IOC;https://raw.githubusercontent.com/mthcht/ThreatHunting-Keywords/main/offensive_tool_keyword.csv;Active
mthcht;Greyware Tools detection patterns;IOC;https://raw.githubusercontent.com/mthcht/ThreatHunting-Keywords/main/greyware_tool_keyword.csv;Active
mthcht;AV signatures keywords;IOC;https://github.com/mthcht/ThreatHunting-Keywords/blob/main/signature_keyword.csv;Active
mthcht;Suspicious Named pipes;IOC;https://github.com/mthcht/awesome-lists/blob/main/Lists/suspicious_named_pipe_list.csv;Active
